1000:10707,10547,10494,10855,10468,10142,10753,11394,10759,10878,11935,11384,10772,11077,10419,10482,11040,10447,10776,10791,11502,10707,11637,11385,10693,11381,11031,13183,10078,11062,9900,10844,10744,10636,10371,11431,11783,10329,10259,11665,10638,11158,10716,13200,11488,11325,11003,11218,11243,10019,11715,10548,10481,11353,12092,10781,11123,10441,9989,10935,10632,12834,11266,12775,10761,11934,10274,11331,10710,12258,11430,11158,10505,11579,12548,10667,10000,10519,11021,10683,12533,10943,10568,11533,11613,10044,10983,10775,10431,10476,11120,10354,11361,10185,10381,11265,11295,10978,9974,11102,
2000:24611,24298,26438,24464,25796,27261,25328,23725,24305,26277,24783,23567,25901,23043,24383,25953,23108,24464,24077,25249,24088,24928,24791,25829,24257,23661,23446,24653,24058,24390,24485,26777,25303,22706,24309,23051,24419,24059,25100,26374,24706,24681,23969,25163,28003,24164,22241,24759,25081,23809,26883,24095,23174,23670,23558,24900,25070,24166,23009,24324,26285,25604,24551,24245,24868,23981,24589,24343,25311,25498,25254,23426,24279,24269,24398,24730,23887,25461,25366,25356,26372,24873,23162,23884,24184,24773,26094,23444,23036,24193,26315,25120,23756,24081,24891,23909,25365,23779,23125,24496,
3000:38509,39507,40835,38848,39178,40680,37655,42467,38800,44960,36746,38702,39222,38579,39199,39213,41383,38346,40481,41808,39464,38285,38328,38863,37676,39837,41469,36095,41235,39558,38921,41525,44908,38897,38746,38661,40475,40530,39132,39116,39896,39874,41613,39054,40600,39069,40904,43714,39007,38739,40116,39914,39581,37836,38432,39413,39184,41361,38406,38127,38821,40647,38841,39463,40796,43191,41029,39074,39811,37558,41428,38616,43316,40790,39633,40219,39220,38611,40452,41196,40731,37747,38978,39567,36990,40002,39797,36743,40408,38802,43994,37730,37004,41581,38322,39310,38028,40294,37356,41021,
4000:59605,54281,52708,54210,53549,55291,59025,54980,51991,54007,56546,53096,57876,53234,55366,56733,55390,53943,54912,56061,51264,51045,55527,54374,59955,54462,53539,54123,54196,57755,54225,54720,56029,51571,53849,56236,54195,51834,56970,51358,53298,55405,53552,51789,51832,57061,52267,60692,55667,53921,53619,53808,53202,57783,52617,51376,58133,54270,56826,53762,63607,54359,53443,52285,55735,59316,56650,52544,52557,51679,52027,53543,55007,53577,55824,51970,53805,54353,57225,53388,55841,55917,54302,58371,56857,52954,54518,52880,56632,51315,52191,54925,60091,56538,56164,52746,52398,55097,57740,53858,
5000:74347,70641,77823,73777,72932,73727,70005,74126,71288,73195,71753,67694,69461,70779,73710,69042,72445,68720,68623,72316,77043,68499,73053,71381,71397,67329,77002,75984,69522,71557,69582,71791,70915,75844,72092,67969,71986,72300,69699,74887,71256,68030,65690,69008,71412,67713,79002,72517,67489,65607,75319,67221,73441,68869,70320,70352,76211,69922,72447,70949,76419,70816,69313,69740,72094,74730,69603,72000,73546,76262,68564,76680,68528,71235,71065,68816,74802,72212,73230,68066,73648,70756,67437,75103,68285,69551,77551,68229,77837,67105,67189,71523,69443,73476,73869,72254,68392,70998,70429,66417,
6000:89178,93646,88010,90546,87883,88262,83383,83235,86988,85914,97634,94423,83430,85716,89444,86292,83623,91552,86314,83248,91683,87895,85452,82222,85684,83067,81230,99863,82089,84694,88590,85165,87803,85812,85970,87720,84665,89112,84556,85940,81208,93537,90126,81918,80718,90489,83339,85285,92889,91561,83436,88699,88717,87589,85938,87320,84354,86338,84455,84660,86866,86063,88243,84246,81353,90411,92098,84755,86158,94247,90251,85649,98993,95560,88298,88129,85496,84973,87029,85148,89064,87483,92211,87614,82522,91237,95369,85909,86978,87626,93712,83230,87381,89977,87113,85684,83878,85861,84699,82790,
7000:116030,111688,100238,99330,104516,101252,100740,104060,99905,98851,101814,102347,100938,101252,104116,106073,98255,103371,100785,106790,105214,107616,101717,110398,101267,105361,108413,100593,100045,104044,105845,98206,106961,108495,99235,109966,107927,96275,107774,109418,98975,104562,105306,107324,104184,111554,107185,106254,110313,108014,112273,105742,101267,98113,105382,102444,102094,107944,104513,112366,103692,99424,99929,106625,110957,100932,105091,101856,105693,97087,99560,100377,104322,101030,101679,110979,111762,111964,104939,105241,100933,100368,98847,101286,98739,98250,103680,99444,95066,105078,109935,108288,111705,111592,101241,104281,104305,104165,113016,108223,
8000:125534,117932,114433,118540,117587,120543,121755,123343,119122,117256,118464,122591,119096,117323,130418,124377,118828,121830,118878,120041,115076,127640,120799,126217,121550,114821,117208,112908,119830,117098,118815,124779,115915,118195,120663,118958,119784,119960,119215,118267,117378,129187,126643,130946,123445,117287,117942,121211,112883,114570,126737,117561,118068,121822,126989,118942,117422,117589,115386,120251,118087,121519,122218,118988,121415,125167,124556,118210,124778,118690,118881,125362,123143,116818,115647,120149,119015,116204,124491,116567,119173,126433,122552,120073,116963,122284,118330,124780,121806,119919,118928,117568,123591,131451,117072,126799,129951,116917,117259,131602,
9000:136768,134392,150903,140191,158046,139185,144558,130616,134299,130660,142156,147105,146539,136208,147161,132865,127652,138918,133883,136264,146562,137426,134621,133584,140400,135318,137350,138025,135803,144570,137752,145439,145906,138537,132219,136674,146365,138949,142448,136257,129188,136583,136464,133619,136089,146272,155940,132917,140803,141687,133936,134152,143814,137433,135186,137289,140282,142062,134390,136599,144735,139502,140736,133733,130099,149155,137159,157314,151998,141805,141618,140817,133390,138439,149690,136983,139338,143926,138902,138535,144400,153214,134112,135697,131875,133809,140107,135669,145991,140879,130630,157741,142246,133485,134467,140155,133471,140993,136761,137728,
10000:175204,145685,147417,145497,150753,157801,163421,151180,146678,165672,145635,158327,158213,149084,158110,146274,146077,153909,153937,152954,158856,148509,160109,162635,150221,154097,161866,153965,156990,151394,147724,150174,148021,156764,153898,150652,155274,148313,157406,169260,149986,167771,154346,156752,147879,150886,151636,153058,152377,165680,163436,163391,161591,149752,160208,161524,166406,154182,154330,151508,160074,152398,151432,156994,147268,159992,150602,153522,152411,157025,154025,155084,152492,159292,155013,156984,160211,146165,159317,145306,159333,146153,158756,152156,149486,154792,162900,155290,166407,157331,146330,156921,163469,154423,156116,160352,153168,168162,143452,151122,
